-22,22,0.14,0.04,-0.7,-9,4,0.011,-0.9,-7.0E-4,-7.0E-4,-7.0E-4,-7.0E-4,0.0,0.0,0.0,0.0,-7.0E-4,0.053
-119,-5,-0.13,0.06,1.0,-8,-5,-0.0040,0.0,-6.0E-4,-6.0E-4,-6.0E-4,-6.0E-4,0.0,0.0,0.0,0.0,-6.0E-4,0.017
-184,-10,0.37,-0.03,-0.3,-15,15,0.014,-0.5,-8.0E-4,-7.0E-4,-7.0E-4,-7.0E-4,-3.0E-4,0.0,0.0,0.0,-7.0E-4,0.018
-25,-17,-0.16,0.1,0.4,-19,6,0.011,0.2,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,0.025
123,-11,0.1,-0.02,-0.7,-7,2,0.0040,-0.1,-3.0E-4,-3.0E-4,-3.0E-4,-3.0E-4,0.0,0.0,0.0,0.0,-3.0E-4,0.018
38,-34,-0.19,-0.09,0.4,-8,10,-0.0030,0.2,-5.0E-4,-5.0E-4,-5.0E-4,-5.0E-4,0.0,0.0,0.0,0.0,-5.0E-4,0.016
301,-17,-0.06,0.02,-0.5,-7,-2,-0.0030,0.4,-5.0E-4,-5.0E-4,-5.0E-4,-5.0E-4,0.0,0.0,0.0,0.0,-5.0E-4,0.02
-300,-37,0.76,0.14,-0.1,-14,-9,-0.0010,0.6,-0.0012,-0.0010,-0.0010,-0.0010,-3.0E-4,0.0,0.0,0.0,-0.0010,0.034
10,-26,-0.38,0.21,1.7,-13,-16,-0.046,-0.1,-0.0016,-0.0016,-0.0016,-0.0016,0.0,0.0,0.0,0.0,-0.0016,0.02
600,18,0.24,0.24,-0.2,-8,-6,0.0070,-3.9,-4.0E-4,-4.0E-4,-4.0E-4,-4.0E-4,0.0,0.0,0.0,0.0,-4.0E-4,0.02
343,-35,0.51,-0.09,-0.9,-12,15,0.019,-0.1,-3.0E-4,-3.0E-4,-3.0E-4,-3.0E-4,0.0,0.0,0.0,0.0,-3.0E-4,0.019
